"","meanVal","stdVal","Delta_meanVal","Delta_stdVal"
"1",-10.2755697591395,3.75210727666745,5.09891037383465e-05,2.83515290633052
"2",13.2790292626852,2.84880160425455,0.00016475318071453,2.15511249677369
"3",-6.25876175909468,3.15018437674511,0.000206708079462857,2.53973342256488
"4",8.65910990712501,3.1013728162416,-0.000185135378162425,2.47756267306872
"5",-0.00668229789418883,3.3745728744974,0.000296088672453903,2.73701049034466
"6",5.74518515156913,3.24963036350347,-0.000505889545821974,2.89937303385098
"7",-3.4266140151483,3.03527268679131,-7.90483565645643e-05,3.11865202609458
"8",5.30131185391169,3.1674527903198,-0.000242218010746704,3.22380776242909
"9",-1.04367466719927,3.1728101782898,-1.95020626139511e-05,3.36273879364195
"10",4.83021928124421,3.2958159689988,-0.000167030144977026,3.42293275144192
"11",-0.545992563863744,3.36751807358725,-0.000219799196868173,3.51485320408859
"12",3.50026205318599,3.36870297597711,-0.000640355896527534,3.54206381005371
"13",-0.965749717387839,3.37688027897783,0.000376843546119323,3.55290098437978
