"","avr","std","f"
"1",-2.82240588332197,11.104597224989,0
"2",6.59707263692598,9.05328643274939,43.06640625
"3",9.15671624472123,10.3263676075246,86.1328125
"4",8.72053503816585,10.4992570404366,129.19921875
"5",9.34318047769221,9.96123792049325,172.265625
"6",11.0355728553915,9.3551187687065,215.33203125
"7",11.685272373762,9.35223910926524,258.3984375
"8",12.477156649081,9.45115824575302,301.46484375
"9",12.754937895713,9.8185348870917,344.53125
"10",12.6732732025602,9.93507142147461,387.59765625
"11",11.8379744417088,10.1944703750836,430.6640625
"12",11.4254953888397,10.475246309624,473.73046875
"13",10.4597638145398,10.7536883118605,516.796875
"14",9.70146508853894,10.5739160307359,559.86328125
"15",8.52164048394241,10.5814195091428,602.9296875
"16",7.13741290862044,10.93844852512,645.99609375
"17",6.3761097038446,10.9121364524921,689.0625
"18",5.90275553450884,11.1933298800785,732.12890625
"19",5.66175212630456,10.9746036102027,775.1953125
"20",4.54644542383337,10.9432159763632,818.26171875
"21",4.2292706418082,11.2800152761985,861.328125
"22",3.23066588742375,11.3795819241921,904.39453125
"23",1.76066544610715,11.0447389667494,947.4609375
"24",1.98152516955664,11.6254377376075,990.52734375
"25",1.02643723510565,11.691258703459,1033.59375
"26",-0.122192818221511,11.7312806918102,1076.66015625
"27",-0.681097128396886,11.566226590918,1119.7265625
"28",-0.71489638652602,11.830057369533,1162.79296875
"29",-1.83946888161168,12.0348620272606,1205.859375
"30",-4.15075919259869,11.8746365821563,1248.92578125
"31",-2.13768652349951,12.0194266054611,1291.9921875
"32",-2.49814748395359,12.4080311895236,1335.05859375
"33",-4.19344127222808,12.2644374632576,1378.125
"34",-6.02493689525166,12.2656500551505,1421.19140625
"35",-4.48807218307935,12.7626494548931,1464.2578125
"36",-4.78986194649699,12.396351543121,1507.32421875
"37",-5.16964515015661,12.3078526856071,1550.390625
"38",-5.77191523691903,12.4570128248557,1593.45703125
"39",-6.2348240361516,12.0177246941916,1636.5234375
"40",-7.77825622010622,12.2498390289295,1679.58984375
"41",-6.71204850067567,12.0534487792669,1722.65625
"42",-5.93942909776032,12.9089330297308,1765.72265625
"43",-7.23167098203996,11.9987843377352,1808.7890625
"44",-9.19392181225173,12.1827484167952,1851.85546875
"45",-9.94044691405706,11.8907648754731,1894.921875
"46",-8.74346422462385,11.6443346699791,1937.98828125
"47",-7.61143565291698,12.5561737550032,1981.0546875
"48",-9.15306903547059,12.0909540417514,2024.12109375
"49",-10.5806617681875,12.1449152098767,2067.1875
"50",-11.1108155840125,12.6028184537376,2110.25390625
"51",-11.9613503195567,11.8210417664227,2153.3203125
"52",-10.4503505102885,12.0846858529308,2196.38671875
"53",-10.1831414865537,12.4199596074623,2239.453125
"54",-11.8245606192224,11.629524164074,2282.51953125
"55",-11.1314532144246,11.9180110163754,2325.5859375
"56",-10.8433574764615,12.4171777865831,2368.65234375
"57",-12.9411370394374,11.871826468593,2411.71875
"58",-13.5118233841389,12.024640379805,2454.78515625
"59",-12.866489353516,12.4464680355672,2497.8515625
"60",-14.1477037372448,11.7813597768382,2540.91796875
"61",-14.0145428823812,11.4393222643741,2583.984375
"62",-11.5600471154663,12.2124570894922,2627.05078125
"63",-12.060906188666,12.4623580096175,2670.1171875
"64",-14.4933572718586,11.7989380081517,2713.18359375
"65",-15.1193754894813,11.7139755930061,2756.25
"66",-15.1493841544061,12.3219980143316,2799.31640625
"67",-16.5586655759726,12.1083396484499,2842.3828125
"68",-17.0229861050533,11.5209991751823,2885.44921875
"69",-14.876202110987,11.9584616259067,2928.515625
"70",-13.784876902892,12.6274457828742,2971.58203125
"71",-15.7532498516413,12.3829888801479,3014.6484375
"72",-17.8860908038559,11.7707048322096,3057.71484375
"73",-16.7546506682481,12.0181232825066,3100.78125
"74",-15.47876577762,12.6559793405803,3143.84765625
"75",-16.5489545536009,12.4914227685825,3186.9140625
"76",-18.3033886559649,11.8249137899529,3229.98046875
"77",-17.9906259880229,11.7610757517915,3273.046875
"78",-16.6345274461662,12.1979384715053,3316.11328125
"79",-17.4550072023482,12.1485141530835,3359.1796875
"80",-19.796416838366,11.7360100824264,3402.24609375
"81",-19.983821418786,11.644743271641,3445.3125
"82",-18.2074722619569,12.0383180971926,3488.37890625
"83",-17.1765720636289,12.4714690506426,3531.4453125
"84",-18.3905667745421,12.3214931065162,3574.51171875
"85",-20.4768190502275,11.7164687595458,3617.578125
"86",-20.5625222179374,11.7184387248745,3660.64453125
"87",-19.4572849530036,12.0667650155683,3703.7109375
"88",-19.4251152629976,12.3394909342826,3746.77734375
"89",-21.0402288749997,12.0145701466189,3789.84375
"90",-22.4426152597659,11.5415751254208,3832.91015625
"91",-21.8486865185751,11.5514929365766,3875.9765625
"92",-19.9268794230155,11.7838091591281,3919.04296875
"93",-18.7020680142704,12.060831658235,3962.109375
"94",-19.7133193319701,12.0632705696834,4005.17578125
"95",-21.6277154412074,11.787646250718,4048.2421875
"96",-22.2302902019809,11.7012071841137,4091.30859375
"97",-22.0161058578556,11.8242177696354,4134.375
"98",-21.6705388121869,11.9809397196871,4177.44140625
"99",-22.2070823788811,12.1717866678496,4220.5078125
"100",-23.5342612463112,11.9074948585667,4263.57421875
"101",-24.2808357395503,11.5892565660433,4306.640625
"102",-24.3269153863188,11.4071932126753,4349.70703125
"103",-23.5407308296452,11.501368666769,4392.7734375
"104",-22.6776365958781,11.6415965870581,4435.83984375
"105",-23.1491314677668,11.6649964644439,4478.90625
"106",-25.0117450590653,11.3743279915898,4521.97265625
"107",-26.2291198390066,11.2544306788456,4565.0390625
