"","Sigma.1","Sigma.2","Sigma.3","Sigma.4","Sigma.5","Sigma.6","Sigma.7","Sigma.8","Sigma.9","Sigma.10","Sigma.11","Sigma.12","Sigma.13","Sigma.14","Sigma.15","Sigma.16","Sigma.17","Sigma.18","Sigma.19","Sigma.20","Delta_Sigma.1","Delta_Sigma.2","Delta_Sigma.3","Delta_Sigma.4","Delta_Sigma.5","Delta_Sigma.6","Delta_Sigma.7","Delta_Sigma.8","Delta_Sigma.9","Delta_Sigma.10","Delta_Sigma.11","Delta_Sigma.12","Delta_Sigma.13","Delta_Sigma.14","Delta_Sigma.15","Delta_Sigma.16","Delta_Sigma.17","Delta_Sigma.18","Delta_Sigma.19","Delta_Sigma.20"
"1",51.90186374789,-14.8051281241216,3.47529154584671,-5.43981196949709,-1.25579582567362,-4.26436437273498,0.68001797979067,-3.49064440456921,1.62716703335208,-2.12057424148712,1.54320711882271,-2.56699020082145,0.0884400415763061,-2.72559069672004,1.32239270399886,-0.445711236112026,-0.680162425070979,0.610497174484683,0.145354585998605,2.08870135940926,51.90186374789,-14.8051281241216,3.47529154584671,-5.43981196949709,-1.25579582567362,-4.26436437273498,0.68001797979067,-3.49064440456921,1.62716703335208,-2.12057424148712,1.54320711882271,-2.56699020082145,0.0884400415763061,-2.72559069672004,1.32239270399886,-0.445711236112026,-0.680162425070979,0.610497174484683,0.145354585998605,2.08870135940926
"2",-14.8051281241216,18.256010234048,-11.1085649146594,3.60369865139257,-3.92753863815407,1.08157743827733,-4.88109547725134,3.47129742696346,-3.33428565170491,1.27358778515757,-2.06704892791678,2.10870485485036,-0.938776607948353,1.57642319285749,-0.669201171214104,0.180455875118623,-0.194103008594628,-0.907888005320049,0.711433794981508,-2.28992999951715,-14.8051281241216,18.256010234048,-11.1085649146594,3.60369865139257,-3.92753863815407,1.08157743827733,-4.88109547725134,3.47129742696346,-3.33428565170491,1.27358778515757,-2.06704892791678,2.10870485485036,-0.938776607948353,1.57642319285749,-0.669201171214104,0.180455875118623,-0.194103008594628,-0.907888005320049,0.711433794981508,-2.28992999951715
"3",3.47529154584671,-11.1085649146594,20.2754118316374,-5.8063356899771,5.37965609683986,-3.2449339003693,6.01400983033599,-3.83062641221498,4.31455301917827,-2.22071725261563,1.2430537931678,-1.64060548814146,1.87827902798569,-0.522041124953225,1.35451913332577,0.0174127566374557,-0.205741990745964,0.555113085105105,-1.78048234842317,1.60535479764814,3.47529154584671,-11.1085649146594,20.2754118316374,-5.8063356899771,5.37965609683986,-3.2449339003693,6.01400983033599,-3.83062641221498,4.31455301917827,-2.22071725261563,1.2430537931678,-1.64060548814146,1.87827902798569,-0.522041124953225,1.35451913332577,0.0174127566374557,-0.205741990745964,0.555113085105105,-1.78048234842317,1.60535479764814
"4",-5.43981196949709,3.60369865139257,-5.8063356899771,19.7103063090759,-5.99425265671993,9.77708961378372,-5.89413195844374,3.71698655047235,-4.7888449167259,4.23287678613127,-2.17507952256568,0.702901690856957,-2.86766399524903,1.73440141984194,-0.560257291669995,1.20069320849049,-0.798240976763541,0.567852164398573,0.848380281289691,-0.395338331030532,-5.43981196949709,3.60369865139257,-5.8063356899771,19.7103063090759,-5.99425265671993,9.77708961378372,-5.89413195844374,3.71698655047235,-4.7888449167259,4.23287678613127,-2.17507952256568,0.702901690856957,-2.86766399524903,1.73440141984194,-0.560257291669995,1.20069320849049,-0.798240976763541,0.567852164398573,0.848380281289691,-0.395338331030532
"5",-1.25579582567362,-3.92753863815407,5.37965609683986,-5.99425265671993,23.8792374177254,-3.24311233484997,7.00007215401478,-7.8055206350083,3.86207276960824,-3.9509446435303,5.32249443644315,-4.50637660913895,0.582442366020064,-1.27363290892298,2.61960166561353,-1.47443593397337,1.56978586575839,-0.288059018300248,-0.236763079025388,2.11721971174338,-1.25579582567362,-3.92753863815407,5.37965609683986,-5.99425265671993,23.8792374177254,-3.24311233484997,7.00007215401478,-7.8055206350083,3.86207276960824,-3.9509446435303,5.32249443644315,-4.50637660913895,0.582442366020064,-1.27363290892298,2.61960166561353,-1.47443593397337,1.56978586575839,-0.288059018300248,-0.236763079025388,2.11721971174338
"6",-4.26436437273498,1.08157743827733,-3.2449339003693,9.77708961378372,-3.24311233484997,20.0961379687986,-3.61740634082668,4.97579788352349,-5.86803982955473,4.43262386262923,-4.32793499298293,2.46537623806464,-4.28174643818892,2.14567819543392,-2.77146247569816,1.886938632291,-1.10575481279799,1.54984579530126,-0.550651888397018,0.129046323926382,-4.26436437273498,1.08157743827733,-3.2449339003693,9.77708961378372,-3.24311233484997,20.0961379687986,-3.61740634082668,4.97579788352349,-5.86803982955473,4.43262386262923,-4.32793499298293,2.46537623806464,-4.28174643818892,2.14567819543392,-2.77146247569816,1.886938632291,-1.10575481279799,1.54984579530126,-0.550651888397018,0.129046323926382
"7",0.68001797979067,-4.88109547725134,6.01400983033599,-5.89413195844374,7.00007215401478,-3.61740634082668,19.8012303742094,-1.26720418764625,6.85271851630747,-6.16865303216253,4.00575701842427,-4.5265951645167,4.63895701710222,-3.46020237927014,1.3924463959361,-2.42105684120022,1.43855277007308,-0.938973776882373,0.347927052398235,1.14239327558197,0.68001797979067,-4.88109547725134,6.01400983033599,-5.89413195844374,7.00007215401478,-3.61740634082668,19.8012303742094,-1.26720418764625,6.85271851630747,-6.16865303216253,4.00575701842427,-4.5265951645167,4.63895701710222,-3.46020237927014,1.3924463959361,-2.42105684120022,1.43855277007308,-0.938973776882373,0.347927052398235,1.14239327558197
"8",-3.49064440456921,3.47129742696346,-3.83062641221498,3.71698655047235,-7.8055206350083,4.97579788352349,-1.26720418764625,21.9643253261658,-0.533418656227899,7.51292574933123,-6.3719003107654,4.3936237794734,-4.00466325981912,3.76875387424759,-3.73529651273539,2.16360654658813,-1.80541684473746,2.28002011015558,0.430926197779698,0.506727330069581,-3.49064440456921,3.47129742696346,-3.83062641221498,3.71698655047235,-7.8055206350083,4.97579788352349,-1.26720418764625,21.9643253261658,-0.533418656227899,7.51292574933123,-6.3719003107654,4.3936237794734,-4.00466325981912,3.76875387424759,-3.73529651273539,2.16360654658813,-1.80541684473746,2.28002011015558,0.430926197779698,0.506727330069581
"9",1.62716703335208,-3.33428565170491,4.31455301917827,-4.7888449167259,3.86207276960824,-5.86803982955473,6.85271851630747,-0.533418656227899,20.7314129089307,-0.863476675023541,6.06981261261642,-5.70550391334828,3.7957946429157,-4.76089104529272,2.78423242529003,-2.78891750101484,1.79479934898294,-1.39099828210829,1.38769223490571,0.63387564026002,1.62716703335208,-3.33428565170491,4.31455301917827,-4.7888449167259,3.86207276960824,-5.86803982955473,6.85271851630747,-0.533418656227899,20.7314129089307,-0.863476675023541,6.06981261261642,-5.70550391334828,3.7957946429157,-4.76089104529272,2.78423242529003,-2.78891750101484,1.79479934898294,-1.39099828210829,1.38769223490571,0.63387564026002
"10",-2.12057424148712,1.27358778515757,-2.22071725261563,4.23287678613127,-3.9509446435303,4.43262386262923,-6.16865303216253,7.51292574933123,-0.863476675023541,22.4909348770688,0.458841189945272,7.09518563540095,-6.27874457365535,3.98395827339747,-4.9198928615291,3.63605236302116,-2.44532075184393,2.94101095977144,-0.345147024852638,1.58043200891624,-2.12057424148712,1.27358778515757,-2.22071725261563,4.23287678613127,-3.9509446435303,4.43262386262923,-6.16865303216253,7.51292574933123,-0.863476675023541,22.4909348770688,0.458841189945272,7.09518563540095,-6.27874457365535,3.98395827339747,-4.9198928615291,3.63605236302116,-2.44532075184393,2.94101095977144,-0.345147024852638,1.58043200891624
