"","avr","std","f"
"1",0.0430814509141788,9.14473450997328,0
"2",9.14300160061807,8.05134569838503,43.06640625
"3",13.6904516163027,8.83252975656216,86.1328125
"4",13.1168827891352,8.54982836460884,129.19921875
"5",11.9206540884832,8.42594267619395,172.265625
"6",11.5640460608285,8.64379215955571,215.33203125
"7",10.6876693448359,8.99416137371508,258.3984375
"8",10.2966854019143,9.63266469592456,301.46484375
"9",9.97852327735497,9.82207095073946,344.53125
"10",9.38587274227135,9.8555521248448,387.59765625
"11",8.17364361370649,9.99387500336611,430.6640625
"12",6.74187975293749,10.3743990284976,473.73046875
"13",6.3959826144533,10.6807274099641,516.796875
"14",5.8294901317041,10.6588326781166,559.86328125
"15",4.69901199903061,10.9042844351595,602.9296875
"16",3.31834786892334,10.9606746163143,645.99609375
"17",1.62603931567378,11.0073198121839,689.0625
"18",0.704331786156289,10.9867393399093,732.12890625
"19",0.474843001451393,11.0695298184476,775.1953125
"20",-0.673112385249365,11.1833863774011,818.26171875
"21",-1.78882374619457,11.2664622855171,861.328125
"22",-2.04134965876956,11.381673505178,904.39453125
"23",-3.08809259085992,11.2205557043371,947.4609375
"24",-3.60458542262496,10.9670007437945,990.52734375
"25",-3.73864810515809,11.4571521242896,1033.59375
"26",-4.06566456064343,11.4776559467869,1076.66015625
"27",-4.96886741624794,11.1910595385289,1119.7265625
"28",-4.58806514276316,11.3167584400089,1162.79296875
"29",-4.88429213841021,11.414894576853,1205.859375
"30",-5.69409806903708,11.5143291690467,1248.92578125
"31",-5.39532358727116,11.6478965355458,1291.9921875
"32",-6.25875055584676,11.4239244408441,1335.05859375
"33",-7.0651633278108,11.5241977962716,1378.125
"34",-7.44018012527141,11.5504200684128,1421.19140625
"35",-7.53178130883759,11.4938313320024,1464.2578125
"36",-7.23759822413016,11.5604933994054,1507.32421875
"37",-6.5804985331311,11.8440319268687,1550.390625
"38",-7.1774828922686,11.7460730637163,1593.45703125
"39",-8.82545668320611,11.3454374306068,1636.5234375
"40",-9.49324813962554,11.4870858645379,1679.58984375
"41",-8.85273520121116,11.587223219457,1722.65625
"42",-8.17286529268134,11.781367826142,1765.72265625
"43",-9.06754183634025,11.4033933070827,1808.7890625
"44",-9.45057512827002,11.6061195233787,1851.85546875
"45",-9.80419740189348,11.6886497228982,1894.921875
"46",-10.2169825806911,11.3984156720109,1937.98828125
"47",-10.1247530602247,11.4416837778916,1981.0546875
"48",-10.7093888552947,11.1739283088621,2024.12109375
"49",-10.0448180663637,11.7116774382903,2067.1875
"50",-9.64867696749134,11.9665992899068,2110.25390625
"51",-10.5458042416424,11.5951972939127,2153.3203125
"52",-10.7648070506055,11.6755576391201,2196.38671875
"53",-11.2301174655546,11.5434437250361,2239.453125
"54",-11.8137771970171,11.2472422250435,2282.51953125
"55",-10.9712159109675,11.5776092675199,2325.5859375
"56",-10.6098332579952,11.5603037243987,2368.65234375
"57",-11.9302813430662,10.9668376661746,2411.71875
"58",-12.5129858656489,11.0058886709872,2454.78515625
"59",-12.3817659893132,11.3181212304555,2497.8515625
"60",-12.8768012433765,11.1922534582305,2540.91796875
"61",-12.6651230473499,11.2457923131262,2583.984375
"62",-11.916404488821,11.4997287607185,2627.05078125
"63",-11.8876129932316,11.4033711556922,2670.1171875
"64",-12.3941654494467,11.1671251284128,2713.18359375
"65",-12.5872947916428,11.2177080477986,2756.25
"66",-12.560785769397,11.4211171874266,2799.31640625
"67",-12.8345569106392,11.1959311924313,2842.3828125
"68",-13.5432080515416,11.1582813529148,2885.44921875
"69",-13.5818653738093,11.3808137155847,2928.515625
"70",-13.448256686517,11.3248174788753,2971.58203125
"71",-13.9830730950086,11.1331669591806,3014.6484375
"72",-14.1646255270112,11.1109000913587,3057.71484375
"73",-13.700373983582,11.4234835828351,3100.78125
"74",-13.1484611150498,11.4874135641337,3143.84765625
"75",-14.0169349211259,11.251213027553,3186.9140625
"76",-14.8450125029561,11.0658304698529,3229.98046875
"77",-14.8743401997312,11.1925968304423,3273.046875
"78",-14.7204494069055,11.2361891840296,3316.11328125
"79",-15.0183121340672,11.2241219901818,3359.1796875
"80",-15.2562788935331,11.1126659972095,3402.24609375
"81",-14.9639192009077,10.9722836208201,3445.3125
"82",-14.8440111931421,11.1389079881976,3488.37890625
"83",-15.0177808417457,11.1578929245393,3531.4453125
"84",-15.4773235608343,10.9040524710362,3574.51171875
"85",-15.8847566502064,10.7608090320506,3617.578125
"86",-16.3451961343513,10.8294534983554,3660.64453125
"87",-16.3956697864838,10.9865919436675,3703.7109375
"88",-16.4600776783488,11.0770369969655,3746.77734375
"89",-16.7503107659071,11.0374727189701,3789.84375
