"","meanVal","stdVal","Delta_meanVal","Delta_stdVal"
"1",-56.1197547391069,10.8639533004379,0.00151417975397623,2.50154466316377
"2",15.5342896443448,4.24234421589001,2.13429257782909e-06,1.85992436948619
"3",-8.48910038318295,4.61827344177858,-0.000695808446881578,2.32172562558338
"4",5.36247098159329,3.89933896847657,0.000304107842132615,2.71972897967624
"5",-6.83027724527548,4.22493438459678,-0.00119213380149017,3.05690321100256
"6",5.78417634671001,3.90479590138609,0.000371240277423066,3.38986124717177
"7",-10.4124396704473,4.10637093024817,-0.000945815116151607,3.63272283985274
"8",5.53161036039621,4.28910598307994,0.00026375520966628,3.86611965483427
"9",-9.54041726878313,4.8231256390431,-0.00069299460087533,4.09771246941879
"10",4.52220362360839,5.18032150896828,0.000164496961022443,4.31927126064939
"11",-8.26932224845824,5.46499961276578,-0.00103158083583116,4.44490727033419
"12",4.75626178487426,5.76331642927122,2.54639886664533e-05,4.58782187471699
"13",-6.96331630531495,6.29362658312088,-0.00105679052965199,4.68516656994762
"14",2.41569299631373,6.35040484429003,9.78653028782847e-05,4.84254162997818
"15",-4.11576126433161,6.40030721503373,-0.000565414955103107,4.89145265417533
"16",1.38130101741292,6.42765895410248,0.000274646504573677,4.94856588053672
"17",-2.72432599792214,6.1781174087883,-0.000422351564238415,4.94770209241315
"18",1.40520388541329,5.94412130053199,0.000297005412439059,4.98287375292935
"19",-1.19493078051248,5.89409713101526,9.81714909907197e-05,4.94076609777258
"20",-0.444387853528436,5.93603596404578,-0.000663463813143116,4.9861318667587
