"","meanVal","stdVal","Delta_meanVal","Delta_stdVal"
"1",-31.5344039562222,6.55790659790913,0.00193574216889224,4.62678409050665
"2",5.3483138951926,4.17034234965713,1.23997002510706e-05,3.45263650052562
"3",-10.2087222672661,4.42155787260971,-0.00121858386560747,3.6786721729052
"4",8.86673113993525,4.39063105618884,-0.000243323920944114,3.63692271789421
"5",-5.73580510345953,4.83852102334359,-0.000479763546645101,4.01112570814998
"6",9.2755647351226,4.43735597480612,-0.000284964596660599,4.0524831413279
"7",-8.34392936405792,4.42022497435151,-0.000702519339223129,4.34443660468995
"8",8.07663772216449,4.65594242149673,-0.000220498449303307,4.42984612988737
"9",-5.50796240322117,4.51785935793766,-0.000395285471879695,4.52571617725499
"10",7.55419242944522,4.70274443913149,3.64382040843637e-05,4.71873141592967
"11",-5.1171540289241,4.78777019452184,-1.67454614731848e-05,4.81516372519845
"12",6.87028917453005,4.86856747627029,0.000273532410877759,4.908198991272
"13",-4.09316612280316,4.83855257160768,-0.000680394527693454,4.95623417891427
"14",5.45787760832318,4.88032666377577,0.00037348992928431,5.02569505462888
"15",-3.86729863829509,4.84476839945752,0.000117918901669839,5.02687440323529
"16",3.74080723066702,4.80401334127291,0.000813556329353762,5.06420623129274
"17",-3.85215364305379,4.94832309815251,-4.94992684066705e-05,5.1382926204027
"18",3.19988878674528,5.01404136411894,0.000728557464496085,5.20700195351646
"19",-2.31530057462867,4.96236045228284,-0.000345008652973651,5.20498165122819
"20",1.02311544916449,5.06458975777516,-0.000488252341777212,5.29703900026507
