"","avr","std","f"
"1",15.0178918321859,11.4493153987163,0
"2",25.0065115379164,7.76802672275107,43.06640625
"3",28.9028743245079,6.86074214872506,86.1328125
"4",29.0410257362351,6.20715555589691,129.19921875
"5",26.9406641332594,6.3671988651973,172.265625
"6",24.513808669109,6.49912881238277,215.33203125
"7",22.7198560509586,6.50800596763254,258.3984375
"8",20.7528176945799,6.64167676553024,301.46484375
"9",19.292437480182,6.75514445876781,344.53125
"10",18.2480743045748,6.908857441894,387.59765625
"11",17.2745119866073,6.97348597507164,430.6640625
"12",16.5918306091934,7.09600573011769,473.73046875
"13",15.7092809365189,7.31533336312427,516.796875
"14",14.8452249886997,7.3488167446824,559.86328125
"15",14.9348043663978,7.29962849056307,602.9296875
"16",15.644379873229,7.32035618893082,645.99609375
"17",15.8300014175337,7.31200867086164,689.0625
"18",15.5090339418837,7.31840761061982,732.12890625
"19",15.0241821806611,7.56330274716414,775.1953125
"20",14.4402715153935,7.65452673796683,818.26171875
"21",13.9284929728839,7.7663542231223,861.328125
"22",13.4776116913962,7.91734251930025,904.39453125
"23",12.5483391474733,8.05903507923373,947.4609375
"24",12.2480528429469,7.90014032740933,990.52734375
"25",12.3519398558822,7.85904136066542,1033.59375
"26",11.2542628757214,7.87074933592181,1076.66015625
"27",10.494357764311,7.63556497875701,1119.7265625
"28",11.8455972110902,7.72129164971578,1162.79296875
"29",11.5974300309784,7.61056231406107,1205.859375
"30",10.5255536514695,7.53836228406151,1248.92578125
"31",10.2879043865629,7.552603165816,1291.9921875
"32",9.95478056290816,7.7070639521713,1335.05859375
"33",9.71123537200363,7.50720392622691,1378.125
"34",9.58448834177744,7.44192933465439,1421.19140625
"35",9.86614286338521,7.50187759089047,1464.2578125
"36",10.0635188563786,7.33303757283765,1507.32421875
"37",10.6286033676425,7.52968088010162,1550.390625
"38",10.7471096270058,7.55376323655482,1593.45703125
"39",10.4726186715616,7.49771948111379,1636.5234375
"40",10.3919125472164,7.49219268142773,1679.58984375
"41",10.5833999297457,7.4021524697009,1722.65625
"42",11.031515012402,7.67061043653634,1765.72265625
"43",10.1231155290215,7.55156398832932,1808.7890625
"44",9.92632985933639,7.59434941013667,1851.85546875
"45",9.77962655868592,7.4869234006834,1894.921875
"46",9.91657593163448,7.48161856249544,1937.98828125
"47",10.3884810512722,7.56183770426166,1981.0546875
"48",10.1942310997754,7.31255439002797,2024.12109375
"49",10.6842052103824,7.37436606339914,2067.1875
"50",10.9544210331025,7.41449333752839,2110.25390625
"51",10.8121788441983,7.29744619560802,2153.3203125
"52",11.5814339188042,7.31569789558121,2196.38671875
"53",11.9772347351166,7.25107332944362,2239.453125
"54",11.8755962612949,7.120008603357,2282.51953125
"55",12.7626018094892,7.17706125926532,2325.5859375
"56",13.0125772143357,7.24106077750419,2368.65234375
"57",12.2341703531004,7.11809327561549,2411.71875
"58",12.1580588933503,7.13389126804024,2454.78515625
"59",12.1665409793192,7.07093868528973,2497.8515625
"60",11.4472530622419,6.9899663494086,2540.91796875
"61",11.3131628430409,7.14605507328632,2583.984375
"62",11.8132906350645,7.19857732735477,2627.05078125
"63",11.4938836261698,7.14535602961386,2670.1171875
"64",11.0493347956615,7.01741423884154,2713.18359375
"65",11.2712058546485,7.02193693464245,2756.25
"66",11.2873229788255,7.10152281610907,2799.31640625
"67",10.4023101058399,7.04649669331765,2842.3828125
"68",9.62643262240154,7.08018088196521,2885.44921875
"69",9.71949307847808,7.17182678316765,2928.515625
"70",9.91014110015828,7.16032614002629,2971.58203125
"71",9.43918736714867,7.10354715678942,3014.6484375
"72",9.49481911779097,7.05273163069579,3057.71484375
"73",10.4473376847672,6.96135321579436,3100.78125
"74",11.1067833319339,7.00088178126225,3143.84765625
"75",10.6138967113176,6.93357956499649,3186.9140625
"76",10.1688392901481,7.01839249449469,3229.98046875
"77",10.1662618131584,7.07213369811338,3273.046875
"78",10.2893799681914,7.17036598318082,3316.11328125
"79",9.94110950451091,7.1790867532154,3359.1796875
"80",9.3417468419877,7.14623833940506,3402.24609375
"81",9.13408907119945,7.08298961500842,3445.3125
"82",9.34770472695223,7.05828417874234,3488.37890625
"83",9.40828425789196,7.0589980737058,3531.4453125
"84",8.83087877001331,7.01393619841831,3574.51171875
"85",8.37220803867486,7.07666485774758,3617.578125
"86",8.44761769202606,7.17569004521598,3660.64453125
"87",8.35680020776299,7.23216983895093,3703.7109375
"88",8.1258515996215,7.30102927608412,3746.77734375
"89",7.71731874261222,7.21682060317791,3789.84375
"90",7.62478165086851,7.24134255852183,3832.91015625
"91",7.74378864732718,7.21468085736906,3875.9765625
"92",8.04484688470908,7.25559870088281,3919.04296875
"93",7.99822665888729,7.29760950895634,3962.109375
"94",7.52841322910951,7.21263245204678,4005.17578125
"95",6.9827684834622,7.2881596996083,4048.2421875
"96",6.6275273371448,7.22889989918391,4091.30859375
"97",6.60863493877403,7.19112096465395,4134.375
"98",6.53949786507448,7.19944046830096,4177.44140625
"99",6.15462833849801,7.29216508273625,4220.5078125
"100",5.72321624677459,7.2787178235546,4263.57421875
"101",5.4432173307266,7.28791269112917,4306.640625
"102",5.18450775087866,7.27521924433674,4349.70703125
"103",5.53464272758628,7.3015624147343,4392.7734375
"104",5.94184524695475,7.38961516008121,4435.83984375
"105",5.58322077557785,7.47480555089962,4478.90625
"106",5.16438140880231,7.4435252618468,4521.97265625
"107",5.12696302015028,7.431535988867,4565.0390625
"108",5.15589165462638,7.40020339590997,4608.10546875
"109",5.2242013777752,7.28739875397608,4651.171875
