"","Sigma.1","Sigma.2","Sigma.3","Sigma.4","Sigma.5","Sigma.6","Sigma.7","Sigma.8","Sigma.9","Sigma.10","Sigma.11","Sigma.12","Sigma.13","Sigma.14","Sigma.15","Sigma.16","Sigma.17","Sigma.18","Sigma.19","Sigma.20","Delta_Sigma.1","Delta_Sigma.2","Delta_Sigma.3","Delta_Sigma.4","Delta_Sigma.5","Delta_Sigma.6","Delta_Sigma.7","Delta_Sigma.8","Delta_Sigma.9","Delta_Sigma.10","Delta_Sigma.11","Delta_Sigma.12","Delta_Sigma.13","Delta_Sigma.14","Delta_Sigma.15","Delta_Sigma.16","Delta_Sigma.17","Delta_Sigma.18","Delta_Sigma.19","Delta_Sigma.20"
"1",79.6577694726918,-18.3583509953392,-1.46570794348701,-7.13815035270322,-3.04243725293271,-5.85735194799205,-0.0639752316887714,-6.40435679046232,-6.68799084963931,-5.16518743790408,-1.90872164115289,0.71677571043764,3.79244390873884,0.639659158656755,-0.67423714326224,-2.41013279594286,-2.15616203450795,-2.58218896569597,-3.83654838353315,1.61722759063585,79.6577694726918,-18.3583509953392,-1.46570794348701,-7.13815035270322,-3.04243725293271,-5.85735194799205,-0.0639752316887714,-6.40435679046232,-6.68799084963931,-5.16518743790408,-1.90872164115289,0.71677571043764,3.79244390873884,0.639659158656755,-0.67423714326224,-2.41013279594286,-2.15616203450795,-2.58218896569597,-3.83654838353315,1.61722759063585
"2",-18.3583509953392,35.5375781578258,-14.1045940811916,-2.34166634817826,-2.08014256126407,1.46589040915637,-11.7530218873047,2.11799539639537,-0.763897555425459,0.464483497389335,-3.98585814391943,3.59832184594376,-0.878296901067031,1.82270758743926,1.46401439901659,0.606826013317252,-0.534466760567592,-0.298253498296835,5.14755249965693,-5.5162432566603,-18.3583509953392,35.5375781578258,-14.1045940811916,-2.34166634817826,-2.08014256126407,1.46589040915637,-11.7530218873047,2.11799539639537,-0.763897555425459,0.464483497389335,-3.98585814391943,3.59832184594376,-0.878296901067031,1.82270758743926,1.46401439901659,0.606826013317252,-0.534466760567592,-0.298253498296835,5.14755249965693,-5.5162432566603
"3",-1.46570794348701,-14.1045940811916,32.6586605727619,-3.30171110167726,5.94895188053228,-4.62300251361558,12.9204597800146,-0.670078558161517,9.1304753331152,0.793994249347227,4.28514213592221,-4.19254134319253,3.14348368255684,-0.438346752977107,0.66750853137447,0.7819290135585,0.57138233955567,2.83801293813407,-2.11194331035247,6.06134336386957,-1.46570794348701,-14.1045940811916,32.6586605727619,-3.30171110167726,5.94895188053228,-4.62300251361558,12.9204597800146,-0.670078558161517,9.1304753331152,0.793994249347227,4.28514213592221,-4.19254134319253,3.14348368255684,-0.438346752977107,0.66750853137447,0.7819290135585,0.57138233955567,2.83801293813407,-2.11194331035247,6.06134336386957
"4",-7.13815035270322,-2.34166634817826,-3.30171110167726,31.8437116871075,-1.54458033866511,10.7019488795575,-2.53409001812456,6.07776020932281,-3.43088090781623,7.39042353344237,-1.47888641124887,0.241161004099136,-4.59296432033946,-0.28845261539817,-1.17595628368146,0.45630388665995,0.923666838291353,-0.922106680805666,1.61926594460239,-0.609167287473516,-7.13815035270322,-2.34166634817826,-3.30171110167726,31.8437116871075,-1.54458033866511,10.7019488795575,-2.53409001812456,6.07776020932281,-3.43088090781623,7.39042353344237,-1.47888641124887,0.241161004099136,-4.59296432033946,-0.28845261539817,-1.17595628368146,0.45630388665995,0.923666838291353,-0.922106680805666,1.61926594460239,-0.609167287473516
"5",-3.04243725293271,-2.08014256126407,5.94895188053228,-1.54458033866511,34.3438395986006,4.48063338758524,9.25750384689144,-7.7862705765409,6.93212086726665,-3.49228282890546,8.5295052808236,-2.9019423799423,-0.864450900379069,-4.49835401851915,2.95059775822425,-1.60729523962278,0.95555851692134,1.33135120079344,0.967847229757724,1.66405480901929,-3.04243725293271,-2.08014256126407,5.94895188053228,-1.54458033866511,34.3438395986006,4.48063338758524,9.25750384689144,-7.7862705765409,6.93212086726665,-3.49228282890546,8.5295052808236,-2.9019423799423,-0.864450900379069,-4.49835401851915,2.95059775822425,-1.60729523962278,0.95555851692134,1.33135120079344,0.967847229757724,1.66405480901929
"6",-5.85735194799205,1.46589040915637,-4.62300251361558,10.7019488795575,4.48063338758524,33.6592011793314,-0.49094270460935,5.77837099666292,-8.0459734503494,5.70459936287436,-1.77980655976554,5.90683207442629,-6.57072870842985,2.22970997058309,-3.44382655378189,0.761615891984054,-0.414971829458758,1.39377864897958,2.45496164160259,-1.15045319466776,-5.85735194799205,1.46589040915637,-4.62300251361558,10.7019488795575,4.48063338758524,33.6592011793314,-0.49094270460935,5.77837099666292,-8.0459734503494,5.70459936287436,-1.77980655976554,5.90683207442629,-6.57072870842985,2.22970997058309,-3.44382655378189,0.761615891984054,-0.414971829458758,1.39377864897958,2.45496164160259,-1.15045319466776
"7",-0.0639752316887714,-11.7530218873047,12.9204597800146,-2.53409001812456,9.25750384689144,-0.49094270460935,36.9640891863013,2.78415675400655,8.96439553837999,-0.366237372743477,11.5819628218948,-4.07381977157014,8.62228936569441,-1.32002235575193,0.976482063250657,-1.31167911526205,4.27368801546958,1.22478747576679,-2.23652340812906,6.32229348037566,-0.0639752316887714,-11.7530218873047,12.9204597800146,-2.53409001812456,9.25750384689144,-0.49094270460935,36.9640891863013,2.78415675400655,8.96439553837999,-0.366237372743477,11.5819628218948,-4.07381977157014,8.62228936569441,-1.32002235575193,0.976482063250657,-1.31167911526205,4.27368801546958,1.22478747576679,-2.23652340812906,6.32229348037566
"8",-6.40435679046232,2.11799539639537,-0.670078558161517,6.07776020932281,-7.7862705765409,5.77837099666292,2.78415675400655,30.1841382781484,3.33224818463821,10.2262290838665,-3.69488241837126,5.4882024141345,-2.51428446592277,6.64578108547222,-1.66873563693296,3.91385986505674,-0.53608090893526,2.26471139299579,0.693406595144245,0.953648192899739,-6.40435679046232,2.11799539639537,-0.670078558161517,6.07776020932281,-7.7862705765409,5.77837099666292,2.78415675400655,30.1841382781484,3.33224818463821,10.2262290838665,-3.69488241837126,5.4882024141345,-2.51428446592277,6.64578108547222,-1.66873563693296,3.91385986505674,-0.53608090893526,2.26471139299579,0.693406595144245,0.953648192899739
"9",-6.68799084963931,-0.763897555425459,9.1304753331152,-3.43088090781623,6.93212086726665,-8.0459734503494,8.96439553837999,3.33224818463821,33.7370839058677,2.08523921491132,8.61399580584315,-6.01664693523999,6.81665053630804,-4.35308712109172,6.92854884057047,-0.083921389642845,3.11808531969637,-0.920218833103657,2.07329478258338,3.19679634123097,-6.68799084963931,-0.763897555425459,9.1304753331152,-3.43088090781623,6.93212086726665,-8.0459734503494,8.96439553837999,3.33224818463821,33.7370839058677,2.08523921491132,8.61399580584315,-6.01664693523999,6.81665053630804,-4.35308712109172,6.92854884057047,-0.083921389642845,3.11808531969637,-0.920218833103657,2.07329478258338,3.19679634123097
"10",-5.16518743790408,0.464483497389335,0.793994249347227,7.39042353344237,-3.49228282890546,5.70459936287436,-0.366237372743477,10.2262290838665,2.08523921491132,33.8505084295375,4.28337795168844,6.91008512220714,-5.01722012809003,5.33741898320766,-4.24581836539596,6.20309550528033,1.4361001272424,2.51597262938516,-1.74157432458275,3.96042532378323,-5.16518743790408,0.464483497389335,0.793994249347227,7.39042353344237,-3.49228282890546,5.70459936287436,-0.366237372743477,10.2262290838665,2.08523921491132,33.8505084295375,4.28337795168844,6.91008512220714,-5.01722012809003,5.33741898320766,-4.24581836539596,6.20309550528033,1.4361001272424,2.51597262938516,-1.74157432458275,3.96042532378323
