"","Sigma.1","Sigma.2","Sigma.3","Sigma.4","Sigma.5","Sigma.6","Sigma.7","Sigma.8","Sigma.9","Sigma.10","Sigma.11","Sigma.12","Sigma.13","Sigma.14","Sigma.15","Sigma.16","Sigma.17","Sigma.18","Sigma.19","Sigma.20","Delta_Sigma.1","Delta_Sigma.2","Delta_Sigma.3","Delta_Sigma.4","Delta_Sigma.5","Delta_Sigma.6","Delta_Sigma.7","Delta_Sigma.8","Delta_Sigma.9","Delta_Sigma.10","Delta_Sigma.11","Delta_Sigma.12","Delta_Sigma.13","Delta_Sigma.14","Delta_Sigma.15","Delta_Sigma.16","Delta_Sigma.17","Delta_Sigma.18","Delta_Sigma.19","Delta_Sigma.20"
"1",25.8107994714103,-12.5288573616974,6.92681076002629,-6.22330373995632,-0.0576258025294439,-2.49857759140225,3.42292009035281,-2.61403171414112,1.70252014767822,-0.862957929574827,2.16138009304678,-1.51923158718483,0.910530954503975,-1.99679907212838,1.2624794526953,-0.0557692387042858,0.28035058519746,1.93601753077202,-0.467186583831987,2.19135753054118,25.8107994714103,-12.5288573616974,6.92681076002629,-6.22330373995632,-0.0576258025294439,-2.49857759140225,3.42292009035281,-2.61403171414112,1.70252014767822,-0.862957929574827,2.16138009304678,-1.51923158718483,0.910530954503975,-1.99679907212838,1.2624794526953,-0.0557692387042858,0.28035058519746,1.93601753077202,-0.467186583831987,2.19135753054118
"2",-12.5288573616974,16.5002046689224,-12.9121731139225,4.90756695955026,-4.81840377336252,0.655212623231355,-5.37462160224659,3.44304364188505,-3.77115808003713,1.78749724523661,-3.22222988353769,1.49772329017926,-2.31189089243757,1.31906459689097,-1.93298466382179,0.266099901532339,0.0957863317598506,-1.77738052486352,0.992043640991833,-2.05122653721326,-12.5288573616974,16.5002046689224,-12.9121731139225,4.90756695955026,-4.81840377336252,0.655212623231355,-5.37462160224659,3.44304364188505,-3.77115808003713,1.78749724523661,-3.22222988353769,1.49772329017926,-2.31189089243757,1.31906459689097,-1.93298466382179,0.266099901532339,0.0957863317598506,-1.77738052486352,0.992043640991833,-2.05122653721326
"3",6.92681076002629,-12.9121731139225,21.2329198101546,-8.13797665816048,8.2770132516302,-4.65439808500488,6.64615899316225,-5.54633859739302,6.01636167749858,-4.62232316618153,4.22427352419309,-3.49383665938571,3.99369301379156,-2.20244715027151,2.3120063338032,-1.02326326290839,0.0871097448170283,1.46176872313854,-1.27746823658938,2.31039375838743,6.92681076002629,-12.9121731139225,21.2329198101546,-8.13797665816048,8.2770132516302,-4.65439808500488,6.64615899316225,-5.54633859739302,6.01636167749858,-4.62232316618153,4.22427352419309,-3.49383665938571,3.99369301379156,-2.20244715027151,2.3120063338032,-1.02326326290839,0.0871097448170283,1.46176872313854,-1.27746823658938,2.31039375838743
"4",-6.22330373995632,4.90756695955026,-8.13797665816048,20.5789860972083,-8.63213390043265,12.1873454217977,-7.49824829182669,4.99672074390577,-6.56861783261707,6.00859755123455,-7.00543412690874,5.59501486361799,-5.4268757301573,4.56032112933434,-2.09814702900902,1.46905710245254,-1.38321974360532,-0.197689763328864,0.638171865121384,-1.92985797963674,-6.22330373995632,4.90756695955026,-8.13797665816048,20.5789860972083,-8.63213390043265,12.1873454217977,-7.49824829182669,4.99672074390577,-6.56861783261707,6.00859755123455,-7.00543412690874,5.59501486361799,-5.4268757301573,4.56032112933434,-2.09814702900902,1.46905710245254,-1.38321974360532,-0.197689763328864,0.638171865121384,-1.92985797963674
"5",-0.0576258025294439,-4.81840377336252,8.2770132516302,-8.63213390043265,22.3438806120514,-6.49335658851176,7.72390985173674,-8.51817242667834,4.12979193692965,-6.42050228171105,6.67355789814333,-6.78358701510867,5.78120181100519,-2.82779832260182,3.88086947182924,-1.43179372104115,1.91856156577482,-1.1120016161,0.289249676881656,1.76235335235045,-0.0576258025294439,-4.81840377336252,8.2770132516302,-8.63213390043265,22.3438806120514,-6.49335658851176,7.72390985173674,-8.51817242667834,4.12979193692965,-6.42050228171105,6.67355789814333,-6.78358701510867,5.78120181100519,-2.82779832260182,3.88086947182924,-1.43179372104115,1.91856156577482,-1.1120016161,0.289249676881656,1.76235335235045
"6",-2.49857759140225,0.655212623231355,-4.65439808500488,12.1873454217977,-6.49335658851176,20.6479752615281,-4.20219102833183,6.94477010305766,-7.56591478914319,6.11947343234716,-7.13833798134627,6.55692928851175,-6.64342192460214,4.47899454586715,-3.1617882204421,2.72735427586393,-1.82806017220617,1.16745984461202,-1.00561465918957,-0.61341918650346,-2.49857759140225,0.655212623231355,-4.65439808500488,12.1873454217977,-6.49335658851176,20.6479752615281,-4.20219102833183,6.94477010305766,-7.56591478914319,6.11947343234716,-7.13833798134627,6.55692928851175,-6.64342192460214,4.47899454586715,-3.1617882204421,2.72735427586393,-1.82806017220617,1.16745984461202,-1.00561465918957,-0.61341918650346
"7",3.42292009035281,-5.37462160224659,6.64615899316225,-7.49824829182669,7.72390985173674,-4.20219102833183,18.7244346102924,-2.02641060432268,7.64535982626165,-7.16987024498843,5.30830392585478,-5.90418169046682,5.128714250572,-4.70525336172324,3.49948924590195,-2.46925300979917,2.86755669636213,-0.785058382177208,0.576889344726906,-0.124715983377006,3.42292009035281,-5.37462160224659,6.64615899316225,-7.49824829182669,7.72390985173674,-4.20219102833183,18.7244346102924,-2.02641060432268,7.64535982626165,-7.16987024498843,5.30830392585478,-5.90418169046682,5.128714250572,-4.70525336172324,3.49948924590195,-2.46925300979917,2.86755669636213,-0.785058382177208,0.576889344726906,-0.124715983377006
"8",-2.61403171414112,3.44304364188505,-5.54633859739302,4.99672074390577,-8.51817242667834,6.94477010305766,-2.02641060432268,19.8553862453629,-1.02951208852531,7.96181147923839,-7.67338876647625,4.57869761463079,-5.94557265915846,3.928568524494,-4.92146568129857,2.61956070055594,-2.0757661903223,2.19594869258092,-0.769460267216943,0.440603561439467,-2.61403171414112,3.44304364188505,-5.54633859739302,4.99672074390577,-8.51817242667834,6.94477010305766,-2.02641060432268,19.8553862453629,-1.02951208852531,7.96181147923839,-7.67338876647625,4.57869761463079,-5.94557265915846,3.928568524494,-4.92146568129857,2.61956070055594,-2.0757661903223,2.19594869258092,-0.769460267216943,0.440603561439467
"9",1.70252014767822,-3.77115808003713,6.01636167749858,-6.56861783261707,4.12979193692965,-7.56591478914319,7.64535982626165,-1.02951208852531,19.8619679743644,-1.06218698542297,7.75099690415462,-6.69411946898569,4.14515131367536,-5.8170958242258,3.68009321806036,-3.6901213230921,2.6275378049288,-1.36637613546585,1.98061764188249,-0.305000470834922,1.70252014767822,-3.77115808003713,6.01636167749858,-6.56861783261707,4.12979193692965,-7.56591478914319,7.64535982626165,-1.02951208852531,19.8619679743644,-1.06218698542297,7.75099690415462,-6.69411946898569,4.14515131367536,-5.8170958242258,3.68009321806036,-3.6901213230921,2.6275378049288,-1.36637613546585,1.98061764188249,-0.305000470834922
"10",-0.862957929574827,1.78749724523661,-4.62232316618153,6.00859755123455,-6.42050228171105,6.11947343234716,-7.16987024498843,7.96181147923839,-1.06218698542297,21.2606478423695,0.335138473470506,7.78370720210041,-6.82281800227767,2.63237869705334,-6.19691648570287,2.49792278517317,-3.41004883457734,2.35438336822272,-0.913732557598709,2.04778145575516,-0.862957929574827,1.78749724523661,-4.62232316618153,6.00859755123455,-6.42050228171105,6.11947343234716,-7.16987024498843,7.96181147923839,-1.06218698542297,21.2606478423695,0.335138473470506,7.78370720210041,-6.82281800227767,2.63237869705334,-6.19691648570287,2.49792278517317,-3.41004883457734,2.35438336822272,-0.913732557598709,2.04778145575516
